Название,Адрес,Юридический адрес,Фактический адрес,Почтовый адрес,Телефоны,Факс,E-mail,Сайт
"СИНГЕНТА, ООО",,"03040, г. Киев, ул. Васильковская, 14","03040, г. Киев, ул. Казацкая, 120/4","03022, г. Киев, ул. Казацкая, 120, к. 3","(044)4941771, (0800)500449",(044) 4941770,Oksana.Kondratyuk@syngenta.com,https://www.syngenta.ua/
"ФАВОРИТ-III, ЧП",,"74840, Херсонская обл., Каховский р-н, с. Раздольное, комплекс строений, 6","74840, Херсонская обл., Каховский р-н, с. Раздольное, ул. Шуменская, 1","74840, Херсонская обл., Каховский р-н, с. Раздольное, ул. Шуменская, 1","(066)7649196, (05536)21387",,,
"А. Т. К., ООО",,"01001, г. Киев, ул. Лютеранская, 4, оф. 23","13100, Житомирская обл., Любарский р-н, с. Старый Любар, ул. Кантемировская, 1",,(044)4903061,(044) 4903061,secretary@atk.com.ua,http://atk.com.ua/
"АГРАРНЫЕ СИСТЕМНЫЕ ТЕХНОЛОГИИ, ООО",,"08666, Киевская обл., Васильковский р-н, с. Соколовка, ул. Урожайная, 4","01133, г. Киев, ул. Коновальца, 36Б",,(044)2245300,,info@ast.ua,https://ast.ua
"АГРОПРОДСЕРВИС, КОРПОРАЦИЯ, ПАО","47734, Тернопольская обл., Тернопольский р-н, с. Настасов",,,,"(0800)507510, (0352)498032",(067) 3511220,agroprodservice@gmail.com,http://agroprodservice.com.ua/
"АГРОТИС, АГРОФИРМА, ООО","85672, Донецкая обл., Марьинский р-н, с. Павловка, ул. Центральная, 84",,,,(044)4998809,,agrotis@agrotis.com.ua,http://agrotis.com.ua/
"АГРОХОЛДИНГ АВАНГАРД, ЧАО","94320, г. Киев, просп. Победы, 121в",,,,(044)3934050,(044) 3934054,secretar@avangardco.ua,https://avangardco.ua/
"АКРИС АГРО, ООО","01032, г. Киев, ул. Жилянская, 106б",,,,"(044)4514942, (067)4146538",,office@acrisagro.com,http://acris-agro.com/
"АСТАРТА-КИЕВ, ФИРМА, ООО","02000, г. Киев, ул. Ярославская, 58",,,,"(044)5859494, (044)3541800, (044)5859474",,office@astarta.ua,http://www.astartakiev.com/
"БАРИШЕВСКАЯ ЗЕРНОВАЯ КОМПАНИЯ, ООО",,"07501, Киевская обл., Барышевский р-н, пгт. Барышевка, ул. Торфяная, 11","07540, Киевская обл. м. Березань, Шевченко Путь, 268","07540, Киевская обл. м. Березань, Шевченко Путь, 268","(04576)62660, (04576)62572",,office@grainalliance.com,http://www.grainalliance.com/
"ВЕРЕС, ООО",,"41120, Сумская обл., Шосткинский р-н, с. Ображиевка, ул. Ленина, 93","03142, г. Киев, бульв. Вернадского, 34/1","03142, г. Киев, бульв. Вернадского, 34/1","(044)4240555, (0800)306500",(044) 4240555,info@veres.com.ua,https://www.veresfood.com/
"ГАЛС АГРО, ООО",,"17584, Черниговская обл., Прилукский р-н, пгт. Линовица, ул. Заводская, 4","01133, г. Киев, проул. Лабораторный, 3",,(044)5229933,,galsagro@gals-agro.com,https://gals-agro.com/
"ДНИПРОАГРО, АГРОПРОМЫШЛЕННАЯ КОМПАНИЯ, ООО","49005, г. Днепр, просп. Яворницкого, 1а, оф. 702",,,,(056)7903240,,apk-dn@ukr.net,https://dniproagro.com/
"ДТЭК ПАВЛОГРАДУГОЛЬ, ЧАО",,"51400, Днепропетровская обл., г. Павлоград, ул. Соборная, 76","51400, г. Киев, ул. Толстого, 57",,(044)5814539,(044) 5035978,INFO@DTEK.COM,https://dtek.com/
"ЗАПАДНЫЙ БУГ, ЧП","80250, Львовская обл., Радеховский р-н, с. Павлов, просп. Юности, 39",,,,"(03255)35408, (050)4326718, (03264)29442",,office@zahbug.com.ua,https://www.zahbug.com/
